content_key,show_id,type,title,release_year,date_added,year_added,month_added,country,primary_country,language,popularity,vote_average,vote_count,has_valid_votes,weighted_rating,genres_harmonized,genre
movies_47065,47065,Movie,Tales of an Ancient Empire,2010,2010-07-31,2010,7,"Argentina, United States of America",Argentina,en,4.071,3.1,24,True,6.22,"Adventure, Fantasy, Horror, Action, Thriller, Science Fiction",Action
movies_47065,47065,Movie,Tales of an Ancient Empire,2010,2010-07-31,2010,7,"Argentina, United States of America",Argentina,en,4.071,3.1,24,True,6.22,"Adventure, Fantasy, Horror, Action, Thriller, Science Fiction",Thriller
movies_47065,47065,Movie,Tales of an Ancient Empire,2010,2010-07-31,2010,7,"Argentina, United States of America",Argentina,en,4.071,3.1,24,True,6.22,"Adventure, Fantasy, Horror, Action, Thriller, Science Fiction",Science Fiction
movies_62878,62878,Movie,Riverworld,2010,2010-04-18,2010,4,"United States of America, Canada",United States of America,en,4.067,4.8,38,True,6.32,"Science Fiction, TV Movie",Science Fiction
movies_62878,62878,Movie,Riverworld,2010,2010-04-18,2010,4,"United States of America, Canada",United States of America,en,4.067,4.8,38,True,6.32,"Science Fiction, TV Movie",TV Movie
movies_41997,41997,Movie,Meteor Apocalypse,2010,2010-02-23,2010,2,United States of America,United States of America,en,4.063,5.3,41,True,6.39,"Action, Science Fiction, Thriller",Action
movies_41997,41997,Movie,Meteor Apocalypse,2010,2010-02-23,2010,2,United States of America,United States of America,en,4.063,5.3,41,True,6.39,"Action, Science Fiction, Thriller",Science Fiction
movies_41997,41997,Movie,Meteor Apocalypse,2010,2010-02-23,2010,2,United States of America,United States of America,en,4.063,5.3,41,True,6.39,"Action, Science Fiction, Thriller",Thriller
movies_75930,75930,Movie,GARO: Red Requiem,2010,2010-10-30,2010,10,Japan,Japan,ja,4.062,5.7,18,True,6.55,"Action, Adventure, Fantasy, Thriller",Action
movies_75930,75930,Movie,GARO: Red Requiem,2010,2010-10-30,2010,10,Japan,Japan,ja,4.062,5.7,18,True,6.55,"Action, Adventure, Fantasy, Thriller",Adventure
movies_75930,75930,Movie,GARO: Red Requiem,2010,2010-10-30,2010,10,Japan,Japan,ja,4.062,5.7,18,True,6.55,"Action, Adventure, Fantasy, Thriller",Fantasy
movies_75930,75930,Movie,GARO: Red Requiem,2010,2010-10-30,2010,10,Japan,Japan,ja,4.062,5.7,18,True,6.55,"Action, Adventure, Fantasy, Thriller",Thriller
movies_108993,108993,Movie,Detention,2010,2010-01-16,2010,1,United States of America,United States of America,en,4.056,3.7,23,True,6.3,"Horror, Action, Comedy, Thriller",Horror
movies_108993,108993,Movie,Detention,2010,2010-01-16,2010,1,United States of America,United States of America,en,4.056,3.7,23,True,6.3,"Horror, Action, Comedy, Thriller",Action
movies_108993,108993,Movie,Detention,2010,2010-01-16,2010,1,United States of America,United States of America,en,4.056,3.7,23,True,6.3,"Horror, Action, Comedy, Thriller",Comedy
movies_108993,108993,Movie,Detention,2010,2010-01-16,2010,1,United States of America,United States of America,en,4.056,3.7,23,True,6.3,"Horror, Action, Comedy, Thriller",Thriller
movies_27613,27613,Movie,Plaguers,2010,2010-01-15,2010,1,United States of America,United States of America,en,4.055,2.962,26,True,6.18,"Horror, Science Fiction",Horror
movies_27613,27613,Movie,Plaguers,2010,2010-01-15,2010,1,United States of America,United States of America,en,4.055,2.962,26,True,6.18,"Horror, Science Fiction",Science Fiction
movies_43615,43615,Movie,"Lula, the Son of Brazil",2010,2010-01-01,2010,1,Brazil,Brazil,pt,4.045,5.5,80,True,6.29,"Drama, History",Drama
movies_43615,43615,Movie,"Lula, the Son of Brazil",2010,2010-01-01,2010,1,Brazil,Brazil,pt,4.045,5.5,80,True,6.29,"Drama, History",History
movies_50590,50590,Movie,Norman,2010,2010-06-11,2010,6,United States of America,United States of America,en,4.043,6.224,49,True,6.54,Drama,Drama
movies_54994,54994,Movie,Teenage Paparazzo,2010,2010-01-22,2010,1,United States of America,United States of America,en,4.035,7.2,25,True,6.7,Documentary,Documentary
movies_275287,275287,Movie,LEGO Hero Factory: Rise of the Rookies,2010,2010-11-16,2010,11,United States of America,United States of America,en,4.029,6.1,15,True,6.59,"Action, Animation, Family",Action
